"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show","regionflow_2018","regionflow_2019","countryflow_2018","countryflow_2019"
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,11,Burgviertel,82,Bernerring,0,0,2,0,0,1,0,0,1,1,14,28,0,0
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,11,Burgviertel,83,Holee,0,1,0,1,0,0,0,0,1,1,14,28,0,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,11,Burgviertel,84,Schützenmatte,0,0,1,0,0,0,0,0,1,1,14,28,0,0
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,11,Burgviertel,85,Weiherhof,0,0,0,1,1,2,2,0,1,1,14,28,1,0
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,15,8,9,14,8,10,11,10,11,Burgviertel,91,Blauen,0,1,0,1,2,0,1,1,1,1,11,7,1,0
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,15,8,9,14,8,10,11,10,11,Burgviertel,92,Gottfried Keller,1,0,2,0,0,1,0,0,1,1,11,7,1,0
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,11,Burgviertel,101,Oekolampad,0,1,4,0,0,1,1,4,1,1,12,15,2,2
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,11,Burgviertel,102,Wasgenring-Ost,0,0,0,0,1,2,1,1,1,1,12,15,0,2
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,11,Burgviertel,103,Wasgenring-West,0,1,2,1,0,2,0,2,1,1,12,15,0,3
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,11,Burgviertel,111,Pestalozzi,0,0,1,0,0,1,0,0,1,1,26,35,0,0
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,11,Burgviertel,112,Kannenfeld,0,0,0,2,0,0,1,0,1,1,26,35,0,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,11,Burgviertel,113,Landskron,4,2,3,2,3,1,5,3,1,1,26,35,4,2
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,11,Burgviertel,114,Lysbüchel,0,0,0,0,1,0,0,0,1,1,26,35,0,0
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,11,Burgviertel,115,Friedmatt,1,0,0,2,2,2,2,3,1,1,26,35,2,0
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,11,5,7,13,8,8,6,11,11,Burgviertel,121,Theodor,3,3,1,4,2,2,1,3,1,1,9,7,2,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,11,5,7,13,8,8,6,11,11,Burgviertel,122,Klingental,0,0,1,0,0,1,0,1,1,1,9,7,0,0
1,1 - Altstadt Grossbasel,13,13 - Clara,4,3,3,6,6,9,5,3,11,Burgviertel,131,Clarahof,0,0,0,0,0,0,0,0,1,1,9,7,0,1
1,1 - Altstadt Grossbasel,13,13 - Clara,4,3,3,6,6,9,5,3,11,Burgviertel,132,Claramatte,2,2,1,1,4,1,2,0,1,1,9,7,1,2
1,1 - Altstadt Grossbasel,14,14 - Wettstein,9,5,6,10,11,3,4,10,11,Burgviertel,141,Rosengarten,3,0,1,1,3,0,4,1,1,1,7,6,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,9,5,6,10,11,3,4,10,11,Burgviertel,142,Solitude,0,1,0,0,0,0,0,0,1,1,7,6,0,0
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,11,Burgviertel,151,Eglisee,0,0,0,0,0,0,0,0,1,1,5,7,0,2
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,11,Burgviertel,152,Kleinriehen-Nord,0,0,0,0,0,1,0,0,1,1,5,7,0,0
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,11,Burgviertel,153,Kleinriehen-Süd,3,0,0,0,1,0,1,0,1,1,5,7,0,0
1,1 - Altstadt Grossbasel,16,16 - Rosental,7,5,9,4,3,9,6,8,11,Burgviertel,160,Rosental,0,0,0,0,0,0,0,0,1,1,4,13,0,0
1,1 - Altstadt Grossbasel,16,16 - Rosental,7,5,9,4,3,9,6,8,11,Burgviertel,161,Messe,0,0,2,0,1,0,0,1,1,1,4,13,1,0
1,1 - Altstadt Grossbasel,16,16 - Rosental,7,5,9,4,3,9,6,8,11,Burgviertel,162,Erlenmatt,0,0,0,0,0,0,1,0,1,1,4,13,0,0
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,171,Flora,0,1,1,2,0,1,1,0,1,1,23,23,0,0
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,172,Dreirosen,0,5,0,0,0,1,0,3,1,1,23,23,0,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,173,Haltingerstrasse,1,2,2,2,2,1,3,2,1,1,23,23,1,4
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,174,Bläsi,3,1,2,5,6,2,4,5,1,1,23,23,4,5
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,175,Am Riehenring,0,0,0,0,0,0,0,0,1,1,23,23,0,0
1,1 - Altstadt Grossbasel,17,17 - Matthäus,13,24,19,19,24,15,25,27,11,Burgviertel,176,Efringerstrasse,0,0,0,0,0,0,0,0,1,1,23,23,0,0
1,1 - Altstadt Grossbasel,18,18 - Klybeck,0,3,7,13,6,3,5,4,11,Burgviertel,180,Klybeck,0,2,5,6,4,2,1,2,1,1,8,1,4,0
1,1 - Altstadt Grossbasel,19,19 - Kleinhüningen,4,3,6,3,2,1,1,0,11,Burgviertel,190,Kleinhüningen,2,3,2,2,1,1,1,0,1,1,0,0,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,201,Riehen-Dorf,0,1,1,0,1,1,0,0,1,1,7,9,0,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,202,Stettenfeld,0,0,0,0,0,0,0,0,1,1,7,9,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,203,Bischoffhöhe,1,0,0,0,0,0,0,0,1,1,7,9,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,204,Moos,0,0,0,0,0,0,0,1,1,1,7,9,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,205,Wenken,4,0,0,0,0,0,0,1,1,1,7,9,0,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,206,Kornfeld,0,0,0,1,0,0,0,0,1,1,7,9,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,207,Niederholz,0,0,0,1,1,0,0,0,1,1,7,9,0,0
1,1 - Altstadt Grossbasel,20,20 - Riehen,10,10,6,10,10,4,15,13,11,Burgviertel,208,Pfaffenloh,1,0,0,0,0,0,0,0,1,1,7,9,0,2
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,1,0,0,0,2,11,Burgviertel,301,Bettingen-Dorf,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,1,0,0,0,2,11,Burgviertel,302,Chrischona,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,36,12,34,38,24,21,38,32,12,Geschäftsviertel,11,Burgviertel,0,0,0,0,1,0,0,0,1,1,19,14,0,0
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,36,12,34,38,24,21,38,32,12,Geschäftsviertel,12,Geschäftsviertel,6,3,2,6,1,4,1,1,1,1,19,14,1,2
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,36,12,34,38,24,21,38,32,12,Geschäftsviertel,13,Leonhard,1,0,1,1,5,1,2,3,1,1,19,14,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,36,12,34,38,24,21,38,32,12,Geschäftsviertel,14,Peter,3,0,0,2,0,0,5,0,1,1,19,14,1,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,21,St. Johann und Uni,0,0,0,1,0,0,1,1,1,1,17,24,0,4
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,22,Spalen,2,1,0,0,0,0,0,0,1,1,17,24,0,3
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,23,Steinen,0,3,0,0,1,2,0,1,1,1,17,24,1,3
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,24,Aeschen,1,0,5,2,0,0,0,0,1,1,17,24,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,25,Alban,0,1,0,0,4,0,3,0,1,1,17,24,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,15,24,18,26,22,15,15,10,12,Geschäftsviertel,26,Albantal,0,0,1,0,0,0,1,0,1,1,17,24,0,0
