"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show","regionflow_2018","regionflow_2019","countryflow_2018","countryflow_2019"
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,29,9,23,24,20,11,28,25,11,Burgviertel,11,Burgviertel,3,0,1,1,3,1,4,0,1,1,14,9,0,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,29,9,23,24,20,11,28,25,11,Burgviertel,12,Geschäftsviertel,0,0,0,0,0,0,0,0,1,1,14,9,0,0
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,29,9,23,24,20,11,28,25,11,Burgviertel,13,Leonhard,6,0,0,0,0,0,0,0,1,1,14,9,0,0
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,29,9,23,24,20,11,28,25,11,Burgviertel,14,Peter,1,1,2,0,0,0,0,0,1,1,14,9,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,21,St. Johann und Uni,1,0,0,0,0,0,0,0,1,1,9,18,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,22,Spalen,0,0,0,0,0,0,0,0,1,1,9,18,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,23,Steinen,0,0,1,0,0,0,0,0,1,1,9,18,1,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,24,Aeschen,0,1,1,2,0,0,1,0,1,1,9,18,1,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,25,Alban,0,0,0,1,0,0,2,1,1,1,9,18,0,0
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,8,14,7,13,10,6,9,7,11,Burgviertel,26,Albantal,0,1,0,0,0,0,0,0,1,1,9,18,0,0
1,1 - Altstadt Grossbasel,3,3 - Am Ring,20,8,14,37,10,24,11,15,11,Burgviertel,31,St. Johann,4,0,0,4,0,1,2,4,1,1,13,22,0,1
1,1 - Altstadt Grossbasel,3,3 - Am Ring,20,8,14,37,10,24,11,15,11,Burgviertel,32,Spalen,1,0,4,3,1,0,0,0,1,1,13,22,2,2
1,1 - Altstadt Grossbasel,3,3 - Am Ring,20,8,14,37,10,24,11,15,11,Burgviertel,33,Steinen,0,3,1,2,0,1,0,0,1,1,13,22,1,4
1,1 - Altstadt Grossbasel,3,3 - Am Ring,20,8,14,37,10,24,11,15,11,Burgviertel,34,Markthalle,1,0,0,0,0,0,0,0,1,1,13,22,0,0
1,1 - Altstadt Grossbasel,4,4 - Breite,7,1,2,8,6,3,9,3,11,Burgviertel,41,Züricherstrasse,1,0,1,3,0,1,1,0,1,1,6,10,1,1
1,1 - Altstadt Grossbasel,4,4 - Breite,7,1,2,8,6,3,9,3,11,Burgviertel,42,Lehenmatte,1,0,0,0,0,2,0,1,1,1,6,10,1,4
